"valued_component","node_id","label"
"Terrestrial and Semi-Aquatic SAR","2","Terrestrial and Semi-Aquatic SAR"
"Terrestrial and Semi-Aquatic SAR","3","Direct Habitat Destruction or Degradation"
"Terrestrial and Semi-Aquatic SAR","4","Introduction of Invasive/Non-native species"
"Terrestrial and Semi-Aquatic SAR","5","Direct Injury or Mortality"
"Terrestrial and Semi-Aquatic SAR","6","Damage or Destruction of Nests or Dens"
"Terrestrial and Semi-Aquatic SAR","7","Change in Vegetation Community Composition and Structure"
"Terrestrial and Semi-Aquatic SAR","13","Increase in Edge Habitat"
"Terrestrial and Semi-Aquatic SAR","14","Fragmentation of Habitat"
"Terrestrial and Semi-Aquatic SAR","15","Loss of Habitat"
"Terrestrial and Semi-Aquatic SAR","22","Creation of Early Seral Stage Habitat"
"Terrestrial and Semi-Aquatic SAR","24","Change in Predator and/or Prey Abundance"
"Terrestrial and Semi-Aquatic SAR","26","Increase in Predation Risk"
"Terrestrial and Semi-Aquatic SAR","29","Decrease in Food Availability"
"Terrestrial and Semi-Aquatic SAR","30","Change in Soil and Terrain"
"Terrestrial and Semi-Aquatic SAR","33","Decrease in Landscape Connectivity"
"Terrestrial and Semi-Aquatic SAR","47","Increased Access"
"Terrestrial and Semi-Aquatic SAR","48","Increase in Predation Risk"
"Terrestrial and Semi-Aquatic SAR","50","Increase in Public Access"
"Terrestrial and Semi-Aquatic SAR","51","Increase in Predator Access"
"Terrestrial and Semi-Aquatic SAR","52","Creation of Linear Barriers to Movement"
"Terrestrial and Semi-Aquatic SAR","56","Increase in Illegal Trapping and/or Harvesting"
"Terrestrial and Semi-Aquatic SAR","58","Change in Movement and Behaviour"
"Terrestrial and Semi-Aquatic SAR","61","Increase in Adverse Human-Wildlife Interactions"
"Terrestrial and Semi-Aquatic SAR","69","Sensory Disturbance"
"Terrestrial and Semi-Aquatic SAR","70","Avoidance of Habitat"
"Terrestrial and Semi-Aquatic SAR","71","Change in Movement and Behaviour"
"Terrestrial and Semi-Aquatic SAR","72","Increase in Predation Risk"
"Terrestrial and Semi-Aquatic SAR","83","Change in Air Quality"
"Terrestrial and Semi-Aquatic SAR","84","Deposition of Dust and Particulate Matter"
"Terrestrial and Semi-Aquatic SAR","86","Inhalation and/or ingestion of COPCs"
"Terrestrial and Semi-Aquatic SAR","87","Habitat Availability and Distribution"
"Terrestrial and Semi-Aquatic SAR","88","Fitness, Reproduction, and Mortality"
"Terrestrial and Semi-Aquatic SAR","93","Population Abundance and Distribution"
"Terrestrial and Semi-Aquatic SAR","96","Change in Groundwater Quality"
"Terrestrial and Semi-Aquatic SAR","97","Change in Surface Water Quantity"
"Terrestrial and Semi-Aquatic SAR","100","Change in Surface Water Quality"
"Terrestrial and Semi-Aquatic SAR","103","Change in Groundwater Quantity"
"Terrestrial and Semi-Aquatic SAR","104","Decrease in Flows to Wetlands"
"Terrestrial and Semi-Aquatic SAR","106","Change in Vegetation Species Composition and Structure"
"Terrestrial and Semi-Aquatic SAR","107","Change in Soil Quality"
"Terrestrial and Semi-Aquatic SAR","108","Ingestion of Constitutents of Potential Concern (COPCs)"
"Terrestrial and Semi-Aquatic SAR","109","Increased Sediment in Runoff"
"Terrestrial and Semi-Aquatic SAR","110","Change in Flows and/or water level"
"Terrestrial and Semi-Aquatic SAR","111","Increase in Soil Erosion"
"Terrestrial and Semi-Aquatic SAR","112","Change in Habitat Quality"
"Terrestrial and Semi-Aquatic SAR","131","Release of Site Contact Water and Treated Effluent"
"Terrestrial and Semi-Aquatic SAR","132","Decrease in Soil and Water Quality"
